global_step,round,step_in_round,round_size,critic_loss,actor_loss,episode
0,0,0,2000,0.0099,14.2384,20
1,0,200,2000,0.0068,0.2994,20
2,0,400,2000,0.0044,0.33,20
3,0,600,2000,0.0068,0.227,20
4,0,800,2000,0.0051,-0.0182,20
5,0,1000,2000,0.0072,-0.1449,20
6,0,1200,2000,0.0033,-0.2479,20
7,0,1400,2000,0.0038,-0.2593,20
8,0,1600,2000,0.0039,-0.2872,20
9,0,1800,2000,0.0035,-0.2675,20
10,0,1999,2000,0.0144,-0.3115,20
11,1,0,1000,0.005,-0.2834,30
12,1,200,1000,0.004,-0.3047,30
13,1,400,1000,0.0046,-0.31,30
14,1,600,1000,0.0042,-0.3177,30
15,1,800,1000,0.0052,-0.2955,30
16,1,999,1000,0.0082,-0.3187,30
17,2,0,1000,0.0113,-0.3121,40
18,2,200,1000,0.0054,-0.3257,40
19,2,400,1000,0.0078,-0.3143,40
20,2,600,1000,0.0052,-0.3308,40
21,2,800,1000,0.0046,-0.2934,40
22,2,999,1000,0.0033,-0.2748,40
23,3,0,1000,0.0045,-0.3601,50
24,3,200,1000,0.014,-0.345,50
25,3,400,1000,0.0048,-0.3448,50
26,3,600,1000,0.0039,-0.3233,50
27,3,800,1000,0.0053,-0.3394,50
28,3,999,1000,0.0056,-0.339,50
29,4,0,1000,0.0078,-0.3315,60
30,4,200,1000,0.0061,-0.3625,60
31,4,400,1000,0.0032,-0.3867,60
32,4,600,1000,0.0151,-0.3667,60
33,4,800,1000,0.0047,-0.3861,60
34,4,999,1000,0.0037,-0.3434,60
35,5,0,1000,0.0175,-0.3407,70
36,5,200,1000,0.0039,-0.4311,70
37,5,400,1000,0.0065,-0.3942,70
38,5,600,1000,0.0033,-0.3653,70
39,5,800,1000,0.0107,-0.3766,70
40,5,999,1000,0.0058,-0.3793,70
41,6,0,1000,0.0095,-0.3986,80
42,6,200,1000,0.0128,-0.3853,80
43,6,400,1000,0.0031,-0.3548,80
44,6,600,1000,0.0045,-0.3591,80
45,6,800,1000,0.0037,-0.4199,80
46,6,999,1000,0.0112,-0.4577,80
