global_step,round,step_in_round,round_size,critic_loss,actor_loss,episode
0,0,0,2000,0.0096,14.1605,20
1,0,200,2000,0.0004,0.1786,20
2,0,400,2000,0.0052,-0.2189,20
3,0,600,2000,0.0038,-0.281,20
4,0,800,2000,0.0017,-0.2989,20
5,0,1000,2000,0.002,-0.2716,20
6,0,1200,2000,0.0012,-0.2642,20
7,0,1400,2000,0.0017,-0.3206,20
8,0,1600,2000,0.0014,-0.3091,20
9,0,1800,2000,0.0017,-0.3401,20
10,0,1999,2000,0.0019,-0.2864,20
11,1,0,1000,0.0024,-0.3594,30
12,1,200,1000,0.0021,-0.3333,30
13,1,400,1000,0.0013,-0.2872,30
14,1,600,1000,0.0011,-0.2917,30
15,1,800,1000,0.0014,-0.3386,30
16,1,999,1000,0.0008,-0.366,30
17,2,0,1000,0.0054,-0.3543,40
18,2,200,1000,0.0009,-0.3503,40
19,2,400,1000,0.001,-0.4131,40
20,2,600,1000,0.0008,-0.3268,40
21,2,800,1000,0.0009,-0.3621,40
22,2,999,1000,0.0008,-0.3776,40
23,3,0,1000,0.0026,-0.3541,50
24,3,200,1000,0.0009,-0.3972,50
25,3,400,1000,0.0023,-0.327,50
26,3,600,1000,0.0006,-0.3226,50
27,3,800,1000,0.0007,-0.3461,50
28,3,999,1000,0.0014,-0.3924,50
